hid,unicode
2002,66
2003,67
2004,68
2005,69
2006,70
2007,71
2008,72
2009,73
2010,74
2011,75
2012,76
2013,77
2014,78
2015,79
2016,80
2017,81
2018,82
2019,83
2020,84
2021,85
2022,86
2023,87
2024,88
2025,89
2026,90
2027,913
2028,914
2029,915
2030,916
2031,917
2032,918
2033,919
2034,920
2035,921
2036,922
2037,923
2038,924
2039,925
2040,926
2041,927
2042,928
2043,929
2044,931
2045,932
2046,933
2047,934
2048,935
2049,936
2050,937
2051,65
2052,66
2053,67
2054,68
2055,69
2056,70
2057,71
2058,72
2059,73
2060,74
2061,75
2062,76
2063,77
2064,78
2065,79
2066,80
2067,81
2068,82
2069,83
2070,84
2071,85
2072,86
2073,87
2074,88
2075,89
2076,90
2077,8501
2101,97
2102,98
2103,99
2104,100
2105,101
2106,102
2107,103
2108,104
2109,105
2110,106
2111,107
2112,108
2113,109
2114,110
2115,111
2116,112
2117,113
2118,114
2119,115
2120,116
2121,117
2122,118
2123,119
2124,120
2125,121
2126,122
2127,945
2128,946
2129,947
2130,948
2131,949
2132,950
2133,951
2134,952
2135,953
2136,954
2137,955
2138,956
2139,957
2140,958
2141,959
2142,960
2143,961
2144,963
2145,964
2146,965
2147,966
2148,967
2149,968
2150,969
2151,97
2152,98
2153,99
2154,100
2155,101
2156,102
2157,103
2158,104
2159,105
2160,106
2161,107
2162,108
2163,109
2164,110
2165,111
2166,112
2167,113
2168,114
2169,115
2170,116
2171,117
2172,118
2173,119
2174,120
2175,121
2176,122
2177,64256
2178,64257
2179,64258
2180,64259
2181,64260
2182,65533
2184,949
2185,952
2186,981
2187,986
2190,8472
2191,64256
2192,64257
2193,64258
2194,64259
2195,64260
2196,65533
2197,8203
2198,8194
2199,8195
2200,48
2201,49
2202,50
2203,51
2204,52
2205,53
2206,54
2207,55
2208,56
2209,57
2210,46
2211,44
2212,58
2213,59
2214,33
2215,63
2216,8242
2217,8243
2218,176
2219,42
2220,47
2221,40
2222,41
2223,91
2224,93
2225,123
2226,125
2227,10216
2228,10217
2229,124
2230,8741
2231,8722
2232,43
2233,177
2234,8723
2235,10799
2236,8901
2237,247
2238,61
2239,8800
2240,8801
2241,60
2242,62
2243,8806
2244,8807
2245,8733
2246,8764
2247,770
2248,768
2249,769
2250,774
2251,787
2252,786
2253,788
2254,795
2255,8730
2256,8834
2257,8746
2258,8835
2259,8745
2260,8712
2261,8594
2262,8593
2263,8592
2264,8595
2265,89
2266,8711
2267,8730
2268,8747
2269,8750
2270,8734
2271,37
2272,38
2273,64
2274,36
2275,35
2276,167
2277,8224
2278,8225
2279,8707
2281,65533
2282,65533
2283,65533
2284,65533
2285,65533
2286,65533
2287,65533
2288,65533
2289,65533
2290,65533
2291,65533
2292,65533
2293,65533
2294,65533
2295,65533
2301,65533
2302,65533
2303,65533
2304,65533
2305,65533
2306,65533
2307,65533
2308,65533
2309,65533
2310,65533
2311,65533
2312,65533
2317,65533
2318,65533
2319,65533
2320,65533
2321,65533
2322,65533
2323,9839
2324,9838
2325,9837
2326,65533
2327,65533
2328,65533
2329,65533
2330,65533
2331,65533
2332,65533
2367,65533
2368,65533
2369,65533
2370,65533
2371,65533
2372,65533
2373,9839
2374,9838
2375,9837
2376,65533
2377,65533
2378,65533
2379,65533
2380,65533
2381,65533
2382,65533
2401,928
2402,931
2403,40
2404,41
2405,91
